,PLAYER_ID,SCHOOL_NAME,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,full_name,POSITION,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,HAND_LENGTH,HAND_WIDTH,PTS,REB,AST,STL,BLK,FGA,FGM,FTA,FTM,TOV,GP
74,1630577,St. John's (NY),28.5,34.5,11.39,3.04,3.14,,Julian Champagnie,SF,78.25,212.40,82.0,107.0,8.75,9.25,1649,644,234,121,87,1327,558,220,188,153,190
75,1630551,Pittsburgh,27.0,35.0,11.94,3.14,3.34,,Justin Champagnie,PF,77.75,206.40,81.5,104.0,8.75,8.5,736,492,98,85,52,586,283,97,71,72,123
76,1642279,nan,29.0,35.5,11.74,2.84,3.1,,Ulrich Chomche,C,82.25,232.40,88.0,109.0,9.25,10.25,5,8,2,0,1,5,2,2,1,2,7
77,1642353,nan,32.5,35.5,11.07,2.95,3.07,,Cam Christie,SG,76.5,190.40,80.0,101.5,8.0,8.0,18,12,6,5,1,24,7,4,2,2,13
78,1631108,Michigan State,32.0,37.5,10.82,3.02,3.07,,Max Christie,SG,76.25,189.20,80.75,102.5,8.0,8.5,1910,733,373,157,86,1527,651,366,310,224,264
79,1630528,Arizona State,29.5,37.5,11.32,3.3,3.14,,Josh Christopher,SG,75.25,214.80,81.25,101.0,8.75,8.5,987,266,231,103,31,860,388,179,132,180,152
80,1631321,nan,30.5,35.5,11.24,,3.31,,Sidy Cissoko,SF,77.5,223.80,81.75,104.0,9.25,10.0,109,64,40,11,5,93,42,33,18,25,56
81,1641740,California-Los Angeles,,,,,,,Jaylen Clark,SG,76.0,204.20,81.0,101.5,8.5,9.0,163,53,26,36,2,120,56,37,29,8,40
82,1629634,San Jose State,34.0,40.5,10.61,3.05,3.15,10.0,Brandon Clarke,SF,79.25,207.2,80.25,102.0,8.25,9.5,3136,1683,409,222,246,2209,1338,586,409,221,307
83,203903,Tulsa,33.0,38.5,10.76,2.98,3.28,,Jordan Clarkson,PG,75.25,186.3,80.0,98.0,8.25,9.0,14231,2927,2568,718,138,12115,5315,2339,1935,1640,905
84,1629651,Georgia,31.5,36.5,11.26,3.47,3.36,8.0,Nic Claxton,C,82.0,216.6,86.5,110.0,9.25,9.5,3214,2397,535,221,534,2194,1395,774,416,341,311
85,1642270,nan,25.5,29.0,12.06,3.38,3.46,,Donovan Clingan,C,85.75,282.00,90.75,115.0,10.0,10.25,436,527,77,34,110,334,180,104,62,72,67
86,1641730,Alabama,,,,,,,Noah Clowney,PF,,,,,,,553,262,58,32,37,465,183,110,88,61,69
87,1642268,nan,30.0,34.0,10.77,2.9,3.04,,Isaiah Collier,PG,74.5,204.60,76.75,97.5,8.5,9.0,615,235,446,66,16,555,234,154,105,208,71
88,1628381,nan,33.0,37.5,11.66,3.27,3.27,15.0,John Collins,PF,80.25,225.2,83.25,106.5,9.0,10.0,7553,3805,697,288,478,5380,2936,1502,1189,724,472
89,1628380,nan,,,,,,,Zach Collins,PF-C,82.25,232.2,85.0,111.0,8.75,9.25,3420,2115,796,189,284,2680,1300,701,547,575,442
90,201144,Ohio State,35.5,40.5,11.63,,3.09,13.0,Mike Conley,PG,71.0,175,77.75,94.5,,,17268,3636,7075,1676,256,13814,6045,3771,3113,2283,1239
91,1626192,Notre Dame,37.5,44.0,10.58,3.08,3.2,13.0,Pat Connaughton,SG,76.0,215,80.0,96.0,8.5,9.25,3579,2023,829,283,159,2990,1309,362,280,329,595
92,1641731,nan,,,,,,,Bilal Coulibaly,SG-SF,,,,,,,1259,550,309,135,89,1056,451,316,230,212,122
93,1641741,Wichita State,30.5,37.0,11.2,3.21,3.33,,Ricky Council IV,SF,77.0,208.00,81.0,103.0,7.75,8.5,705,260,113,40,14,575,231,224,176,57,105
94,203109,Marquette,31.0,34.5,11.45,,3.37,20.0,Jae Crowder,SF,76.75,241.2,81.25,99.5,9.5,10.5,9600,4343,1635,997,339,7973,3316,1834,1430,866,1039
95,1630595,Oklahoma State,,,,,,,Cade Cunningham,PG,,,,,,,4588,1121,1530,215,125,3879,1730,855,729,794,208
96,203552,Liberty,,,,,,,Seth Curry,SG,73.0,179.2,76.0,97.5,8.0,8.25,6665,1393,1309,436,93,5205,2448,724,627,659,660
97,201939,Davidson,29.5,35.5,11.07,,3.28,10.0,Stephen Curry,PG-SG,74.0,181,75.5,97.0,,,25386,4819,6540,1553,265,18356,8648,4424,4032,3187,1026
98,1642359,nan,29.0,36.0,11.84,2.94,3.21,,Pacome Dadiet,SF,79.75,216.8,81.0,107.5,8.5,9.0,30,18,5,3,2,31,10,6,4,4,18
99,1630700,nan,29.0,34.0,10.81,2.81,3.22,,Dyson Daniels,SG,78.0,195.20,82.5,105.0,8.5,9.75,1654,873,631,357,91,1442,681,233,143,271,196
100,1642368,nan,27.0,33.0,11.55,3.04,3.23,,N'Faly Dante,C,82.0,260.20,90.0,111.0,9.25,10.0,24,21,2,1,5,13,10,5,4,2,4
101,203076,Kentucky,,,,,,,Anthony Davis,PF-C,81.25,221.8,89.5,108.0,9.0,8.5,20239,9005,2190,1092,1925,14499,7570,5915,4689,1686,838
102,1631098,Wisconsin,,,,,,,Johnny Davis,PG,76.25,196.40,80.5,103.5,8.5,10.25,395,175,71,43,24,403,160,66,37,37,112
103,1631120,Alabama,30.0,37.0,11.38,3.23,3.26,,JD Davison,PG,72.5,191.80,78.5,99.5,8.5,9.5,68,32,34,8,4,65,25,13,9,19,36
104,201942,Southern California,29.0,38.5,11.88,,3.31,5.0,DeMar DeRozan,SG-SF,77.5,211.2,81.0,102.5,,,25292,5208,4869,1170,393,19315,9064,7778,6549,2379,1187
105,1628978,Villanova,34.5,42.0,10.72,3.12,3.11,12.0,Donte DiVincenzo,SG,75.5,200.6,78.0,97.5,8.25,9.0,4849,1953,1317,543,120,4046,1701,583,456,668,458
106,1631217,Michigan,29.0,36.5,11.16,2.9,3.26,,Moussa Diabaté,C,81.25,216.60,86.5,109.5,8.5,10.5,491,512,64,58,49,346,201,146,88,72,104
107,1641711,Kansas,29.0,34.0,11.13,2.98,3.5,,Gradey Dick,SG,78.25,204.00,80.75,101.0,8.25,9.0,1287,325,166,82,12,1092,454,206,177,133,114
108,1631172,nan,,,,,,,Ousmane Dieng,SF,,,,,,,468,237,114,39,19,422,179,55,40,63,109
109,1642265,nan,,,,,,,Rob Dillingham,PG,73.0,164.20,75.0,95.0,8.0,8.25,219,50,98,20,1,211,93,15,8,53,49
110,203915,Colorado,,,,,,,Spencer Dinwiddie,PG,76.5,204.9,80.25,103.0,8.25,9.0,11161,2605,4370,610,226,8760,3642,3129,2493,1347,843
